"Genes","E.MTAB.386_eset","GSE13876_eset","GSE17260_eset","GSE18520_eset","GSE26712_eset","GSE9891_eset","PMID17290060_eset","TCGA_eset","GSE32062.GPL6480_eset","Pooled.Cox.Coefficient","P","FDR"
"GMPR","ILMN_1729487","10508","A_24_P277657","204187_at","204187_at","204187_at","204187_at","204187_at","A_24_P277657",-0.220314974699573,1.925207473632e-08,0.000149396099953843
"GJB1","ILMN_1799535","13914","A_24_P404840","204973_at","204973_at","204973_at","204973_at","204973_at","A_23_P250444",-0.210409919718929,2.1693161016215e-07,0.000841694647429142
"MFAP4","ILMN_1766914","25622","A_23_P164057","212713_at","212713_at","212713_at","212713_at","212713_at","A_23_P164057",0.193790917785119,3.38134913644193e-07,0.000874642309959646
"LRRC17","ILMN_1652826","4980","A_23_P253958","205381_at","205381_at","205381_at","205381_at","205381_at","A_23_P253958",0.186603473001718,6.2809273950032e-07,0.00121849991463062
"DDB2","ILMN_1660817","19121","A_23_P52610","203409_at","203409_at","203409_at","203409_at","203409_at","A_23_P52610",-0.190697663810233,1.91588605684886e-06,0.00297345516022943
"LEFTY2","ILMN_1781256","3507","A_23_P137573","206012_at","206012_at","206012_at","206012_at","206012_at","A_23_P137573",0.175996630461964,2.4598001533328e-06,0.00318134153164376
"FOXJ1","ILMN_1802190","1031","A_24_P168033","205906_at","205906_at","205906_at","205906_at","205906_at","A_23_P348636",-0.173039902096457,1.01841039286203e-05,0.0102617775365421
"NUAK1","ILMN_1689318","32188","A_23_P348257","204589_at","204589_at","204589_at","204589_at","204589_at","A_23_P348257",0.167666627968099,1.07456647005712e-05,0.0102617775365421
"EDNRA","ILMN_1796629","11398","A_24_P217572","204464_s_at","204464_s_at","204464_s_at","204464_s_at","204464_s_at","A_24_P217572",0.169146704379206,1.19015461119689e-05,0.0102617775365421
"AKAP12","ILMN_1770149","13590","A_23_P111311","210517_s_at","210517_s_at","210517_s_at","210517_s_at","210517_s_at","A_23_P214897",0.171767721399825,1.39901808065018e-05,0.0108563803058454
"HSD17B6","ILMN_1653162","18832","A_23_P25030","205700_at","205700_at","205700_at","205700_at","205700_at","A_23_P25030",0.161085706574634,1.88958313710572e-05,0.0128792751656108
"RAB11FIP5","ILMN_1740604","31668","A_23_P415006","210879_s_at","210879_s_at","210879_s_at","210879_s_at","210879_s_at","A_23_P415006",0.166511043292481,1.99164048952744e-05,0.0128792751656108
"AP3S1","ILMN_1658911","28135","A_23_P69958","202442_at","202442_at","202442_at","202442_at","202442_at","A_23_P69958",0.171402008717292,2.40754896573726e-05,0.0136409650617517
"GULP1","ILMN_1802690","1155","A_32_P153388","204237_at","204235_s_at","204237_at","204235_s_at","204235_s_at","A_23_P332399",0.159455778775976,2.46099885134695e-05,0.0136409650617517
"SPATA2","ILMN_1681135","27113","A_24_P164838","204434_at","204434_at","204434_at","204434_at","204434_at","A_23_P210554",0.164737310767315,3.63292399386402e-05,0.0187943267949232
"ZCCHC24","ILMN_1754660","35792","A_23_P335452","212423_at","212419_at","212423_at","212419_at","212419_at","A_23_P335452",0.16216152317295,4.03224497606284e-05,0.0189986043211269
"PI3","ILMN_1693192","30021","A_23_P210465","41469_at","41469_at","41469_at","41469_at","41469_at","A_23_P210465",0.155680241209276,4.34517515252691e-05,0.0189986043211269
"NFS1","ILMN_1761314","25922","A_23_P102842","218455_at","218455_at","218455_at","218455_at","218455_at","A_23_P102842",0.155419367588502,4.41922768088587e-05,0.0189986043211269
"SVIL","ILMN_1671404","18112","A_23_P35349","202565_s_at","202565_s_at","202565_s_at","202565_s_at","202565_s_at","A_23_P35349",0.159217024758696,4.65172013017283e-05,0.0189986043211269
"XRCC4","ILMN_1815047","32562","A_23_P122174","205071_x_at","205071_x_at","205071_x_at","205071_x_at","205071_x_at","A_23_P122174",0.154650922836964,6.54826676746344e-05,0.0225285695500914
"GZMB","ILMN_1653280","12639","A_23_P117602","210164_at","210164_at","210164_at","210164_at","210164_at","A_23_P117602",-0.162372111085192,6.76518591596803e-05,0.0225285695500914
"PJA2","ILMN_1688702","13478","A_23_P133470","201133_s_at","201133_s_at","201133_s_at","201133_s_at","201133_s_at","A_23_P133470",0.153035646105047,6.96895708691728e-05,0.0225285695500914
"KIAA0564","ILMN_1688455","5593","A_23_P25534","212946_at","212946_at","212946_at","212946_at","212946_at","A_24_P109351",0.154720750207587,7.12864459522679e-05,0.0225285695500914
"CD302","ILMN_1716797","12842","A_24_P396702","203799_at","203799_at","203799_at","203799_at","203799_at","A_24_P396702",0.156822542518464,7.53480885806026e-05,0.0225285695500914
"RHOT1","ILMN_1678504","22196","A_24_P59765","222148_s_at","222148_s_at","222148_s_at","222148_s_at","222148_s_at","A_24_P59765",0.157736693924934,7.65113994353609e-05,0.0225285695500914
"RECK","ILMN_1688630","26854","A_23_P83028","205407_at","205407_at","205407_at","205407_at","205407_at","A_23_P83028",0.156905641475449,7.71623863266109e-05,0.0225285695500914
"CSNK1G3","ILMN_1652024","35694","A_23_P213602","227767_at","220768_s_at","227767_at","220768_s_at","220768_s_at","A_24_P234792",0.151175313463676,7.83854868366583e-05,0.0225285695500914
"EYA4","ILMN_1671844","7991","A_32_P219620","238877_at","207327_at","238877_at","207327_at","207327_at","A_32_P219620",0.154533293644492,9.08945758781827e-05,0.0251907824576678
"ITGB7","ILMN_1662626","22293","A_23_P76529","205718_at","205718_at","205718_at","205718_at","205718_at","A_23_P76529",-0.151989303610982,9.61986946686485e-05,0.0254375147947973
"PDPN","ILMN_1670490","33405","A_24_P299685","221898_at","221898_at","221898_at","221898_at","221898_at","A_23_P430068",0.152334198026176,9.83409077118451e-05,0.0254375147947973
"EXTL2","ILMN_1797950","13810","A_23_P118","209537_at","209537_at","209537_at","209537_at","209537_at","A_23_P118",0.152159916117526,0.000103949433118777,0.0260208903548938
"URI1","ILMN_1798728","8737","A_23_P119418","214173_x_at","214173_x_at","214173_x_at","214173_x_at","214173_x_at","A_23_P119418",0.149843992096681,0.000116106238867696,0.0281557629254162
"PIR","ILMN_1761247","6483","A_23_P137035","207469_s_at","207469_s_at","207469_s_at","207469_s_at","207469_s_at","A_23_P137035",-0.154639532691912,0.000129107974884466,0.0303599359122259
"APC","ILMN_1662668","16765","A_23_P70213","203525_s_at","203525_s_at","203525_s_at","203525_s_at","203525_s_at","A_23_P70213",0.152918599355978,0.000135531378366996,0.0309330440037613
"STK39","ILMN_1791328","22115","A_23_P90762","202786_at","202786_at","202786_at","202786_at","202786_at","A_23_P90762",0.144874112545718,0.000149343851549811,0.0331116653721867
"KCNV1","ILMN_1736303","23246","A_23_P146125","215736_at","215736_at","215736_at","215736_at","215736_at","A_23_P146125",0.145675767470126,0.000165112192878547,0.0331299067964668
"FERMT2","ILMN_1695290","26705","A_23_P88347","209210_s_at","209210_s_at","209210_s_at","209210_s_at","209210_s_at","A_23_P88347",0.152043880637359,0.000165407078317715,0.0331299067964668
"HLA.DOB","ILMN_1700428","3098","A_23_P30736","205671_s_at","205671_s_at","205671_s_at","205671_s_at","205671_s_at","A_23_P30736",-0.151061529465466,0.000166146778691747,0.0331299067964668
"GALNT10","ILMN_1681984","21676","A_24_P161964","212256_at","212256_at","212256_at","212256_at","212256_at","A_24_P234871",0.149237091830317,0.00017093978804,0.0331299067964668
"IGFBP6","ILMN_1669362","18595","A_23_P139912","203851_at","203851_at","203851_at","203851_at","203851_at","A_23_P139912",0.1430982601384,0.000174251843707526,0.0331299067964668
"WDR45L","ILMN_1719140","2702","A_23_P207020","209076_s_at","209076_s_at","209076_s_at","209076_s_at","209076_s_at","A_23_P207020",-0.140431144741717,0.000175042033331848,0.0331299067964668
"RASA1","ILMN_1725312","13705","A_23_P18939","202677_at","202677_at","202677_at","202677_at","202677_at","A_23_P18939",0.148214137349388,0.000190301252488498,0.0339253915258997
"HIST1H2BJ","ILMN_1658702","19831","A_24_P55148","214502_at","214502_at","214502_at","214502_at","214502_at","A_24_P55148",-0.152957666635653,0.000191013042964792,0.0339253915258997
"ECM2","ILMN_1746763","11195","A_23_P303671","206101_at","206101_at","206101_at","206101_at","206101_at","A_23_P303671",0.140524165314918,0.000196260496181724,0.0339253915258997
"DUS1L","ILMN_1653342","17046","A_23_P255569","217912_at","217912_at","217912_at","217912_at","217912_at","A_23_P255569",-0.144397431764273,0.000203616273451545,0.0339253915258997
"LGALS3BP","ILMN_1654314","22086","A_23_P15357","200923_at","200923_at","200923_at","200923_at","200923_at","A_23_P15357",-0.136985224027165,0.000204261459950015,0.0339253915258997
"JMJD1C","ILMN_1764970","17732","A_23_P427217","221763_at","221763_at","221763_at","221763_at","221763_at","A_23_P300301",0.148057085964973,0.000206856609127047,0.0339253915258997
"TESK1","ILMN_1791067","34628","A_23_P169178","204106_at","204106_at","204106_at","204106_at","204106_at","A_23_P169178",-0.144953113046987,0.000209847782634431,0.0339253915258997
"SLC7A11","ILMN_1655229","27848","A_24_P200420","209921_at","209921_at","209921_at","209921_at","209921_at","A_32_P165477",-0.147386131137585,0.000233323017465429,0.0345326198715441
"IL2RG","ILMN_1794386","21558","A_23_P148473","204116_at","204116_at","204116_at","204116_at","204116_at","A_23_P148473",-0.146657043637633,0.000235491339714483,0.0345326198715441
"AVPI1","ILMN_1671731","35460","A_23_P1492","218631_at","218631_at","218631_at","218631_at","218631_at","A_23_P1492",0.141031732033982,0.000235506313565461,0.0345326198715441
"ISG20","ILMN_1659913","13158","A_23_P32404","33304_at","33304_at","33304_at","33304_at","33304_at","A_23_P32404",-0.142491197795051,0.000239015941036178,0.0345326198715441
"PTPRCAP","ILMN_1672417","37625","A_23_P98173","204960_at","204960_at","204960_at","204960_at","204960_at","A_23_P98173",-0.143641486500382,0.000244085537812684,0.0345326198715441
"GPC1","ILMN_1801516","14929","A_23_P209904","202756_s_at","202756_s_at","202756_s_at","202756_s_at","202756_s_at","A_23_P209904",0.144513286491785,0.000244168950979421,0.0345326198715441
"CXCL11","ILMN_1719597","22536","A_24_P20607","211122_s_at","211122_s_at","211122_s_at","211122_s_at","211122_s_at","A_23_P125278",-0.154009272408249,0.000244754393419449,0.0345326198715441
"PDGFD","ILMN_1803094","7655","A_24_P124349","219304_s_at","219304_s_at","219304_s_at","219304_s_at","219304_s_at","A_24_P124349",0.135527084235463,0.000250156672144415,0.0346645674257261
"NKG7","ILMN_1682993","30692","A_23_P119042","213915_at","213915_at","213915_at","213915_at","213915_at","A_23_P119042",-0.146907731479509,0.000261109841637873,0.0352076227838364
"ZEB1","ILMN_1762231","8241","A_23_P202013","212764_at","212764_at","212764_at","212764_at","212764_at","A_23_P202013",0.141203155734495,0.000263149757920427,0.0352076227838364
"PTPN1","ILMN_1681591","19630","A_23_P338890","202716_at","202716_at","202716_at","202716_at","202716_at","A_23_P338890",0.14237439343049,0.000281872986221798,0.0360761896930586
"ALDH5A1","ILMN_1715859","25348","A_24_P923353","203608_at","203608_at","203608_at","203608_at","203608_at","A_24_P115007",-0.139903346002204,0.000286572425189997,0.0360761896930586
