"Genes","E.MTAB.386_eset","GSE12418_eset","GSE17260_eset","GSE18520_eset","GSE26712_eset","GSE32062.GPL6480_eset","GSE9891_eset","PMID17290060_eset","TCGA_eset","Pooled.LogIt.Coefficient","Mean.Optimal","Mean.Suboptimal","P","FDR"
"GAS8","ILMN_1783798","21762","A_23_P206435","204921_at","204921_at","A_23_P206435","204921_at","204921_at","204921_at",-0.342473154537988,0.174546637606547,-0.126333852166096,4.28771259228191e-06,0.0146894556678037
"LOX","ILMN_1695880","20385","A_24_P37903","215446_s_at","215446_s_at","A_23_P122216","215446_s_at","215446_s_at","215446_s_at",0.35309797431327,-0.176126416108967,0.118829166346184,6.14862996373999e-06,0.0146894556678037
"POSTN","ILMN_1790761","3498","A_24_P347411","210809_s_at","210809_s_at","A_24_P347411","210809_s_at","210809_s_at","210809_s_at",0.340719413103106,-0.178090851360685,0.105249195915255,7.96106179993104e-06,0.0146894556678037
"FAP","ILMN_1741468","6851","A_23_P56746","209955_s_at","209955_s_at","A_23_P56746","209955_s_at","209955_s_at","209955_s_at",0.364058246327388,-0.192933169855547,0.108690770917409,8.92433515662435e-06,0.0146894556678037
"CDK10","ILMN_1700611","9854","A_24_P65199","203469_s_at","210622_x_at","A_23_P152245","203469_s_at","210622_x_at","210622_x_at",-0.317716858138241,0.156631235682657,-0.109699329538221,1.52420272834383e-05,0.0200707015268316
"MTDH","ILMN_1810838","909","A_24_P760130","212251_at","212251_at","A_24_P230877","212251_at","212251_at","212251_at",0.321944472625361,-0.1612563536351,0.102066479585012,2.12673597075374e-05,0.023337382719071
"TGFBR2","ILMN_1744862","8000","A_23_P337242","208944_at","208944_at","A_23_P211957","208944_at","208944_at","208944_at",0.315220422746685,-0.16399703779601,0.0910784519583514,3.28335516889939e-05,0.0237760666751693
"PCSK6","ILMN_1710070","28592","A_23_P151907","207414_s_at","207414_s_at","A_23_P151907","207414_s_at","207414_s_at","207414_s_at",-0.311785051162376,0.119806433241925,-0.121268262446057,3.64415905416129e-05,0.0237760666751693
"AP3B2","ILMN_1679256","8499","A_23_P77304","205678_at","205678_at","A_23_P77304","205678_at","205678_at","205678_at",-0.316530523190463,0.147504984021045,-0.10939540961818,3.86655609649571e-05,0.0237760666751693
"ABCA1","ILMN_1766054","23438","A_24_P235429","203505_at","203505_at","A_24_P235429","203505_at","203505_at","203505_at",0.308854095462332,-0.147217622890576,0.0962089841344619,4.06081082716508e-05,0.0237760666751693
