bcr_sample_barcode	bcr_analyte_barcode	a260_a280_ratio	amount	analyte_type	analyte_type_id	bcr_analyte_uuid	concentration	gel_image_file	normal_tumor_genotype_match	pcr_amplification_successful	spectrophotometer_method	well_number	ratio_28s_18s	rinvalue
TCGA-24-1470-01A	TCGA-24-1470-01A-01D	1.9	17.370000000000005 uL	DNA	D	71073d04-8c21-4dc6-bc66-ca606098acfd	0.15 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]
TCGA-24-1470-01A	TCGA-24-1470-01A-01R	1.8	390 uL	RNA	R	5a7e32dd-3b74-419e-b536-a77367edfe97	0.16 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.5	9
TCGA-24-1470-01A	TCGA-24-1470-01A-01T	[Pending]	107 uL	Total RNA	T	d67373da-4de9-4d1e-9654-7d9431478cc4	.1 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-24-1470-01A	TCGA-24-1470-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	edf24207-5a56-4d65-881e-48b2e68c0111	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-24-1470-10A	TCGA-24-1470-10A-01D	1.9	357.67 uL	DNA	D	fa832689-286b-4ab5-acd9-acca3c39494d	0.14 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-24-1470-10A	TCGA-24-1470-10A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	de238b9a-0abb-4ae7-8a99-8d01083b2b14	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-36-1574-01A	TCGA-36-1574-01A-01D	1.9	492.67 uL	DNA	D	3a861c1a-4cc4-48f2-8269-96606c28c2d9	0.16 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-36-1574-01A	TCGA-36-1574-01A-01G	[Pending]	0 uL	GenomePlex (Rubicon) Amplified DNA	G	99db2f73-c92a-41b3-aa6c-eb8a40e0d07d	0.112 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-36-1574-01A	TCGA-36-1574-01A-01R	1.8	453 uL	RNA	R	9b2353da-8007-4e01-a8ba-9cfed2001a92	0.15 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.3	8.9
TCGA-36-1574-01A	TCGA-36-1574-01A-01T	[Pending]	104 uL	Total RNA	T	f3d1fe94-6c53-47ae-ba80-720aa9a68232	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-36-1574-01A	TCGA-36-1574-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	8fd2d616-d450-49f6-8d44-fdb450d96d68	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-36-1574-10A	TCGA-36-1574-10A-01D	1.9	86.97000000000001 uL	DNA	D	16bb8e8a-72d6-4fda-b8c2-628a2fcc354e	0.16 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-36-1574-10A	TCGA-36-1574-10A-01G	[Pending]	173 uL	GenomePlex (Rubicon) Amplified DNA	G	bbe98321-782d-4bcf-bc21-357f79fac685	0.000 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-36-1574-10A	TCGA-36-1574-10A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	e3c043fe-a437-4fbd-b5ed-67ecc3ef349b	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-57-1584-01A	TCGA-57-1584-01A-01D	1.90	116.67 uL	DNA	D	3c049909-cec5-4e5d-a650-284bf5f35e20	0.14 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-57-1584-01A	TCGA-57-1584-01A-01G	[Pending]	0 uL	GenomePlex (Rubicon) Amplified DNA	G	b2e2d77e-34aa-4265-a838-bf7dedfedd3d	0.099 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-57-1584-01A	TCGA-57-1584-01A-01R	1.80	583 uL	RNA	R	4429c3a8-508a-485f-9bd6-8e1d055f0bbf	0.14 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.3	8.7
TCGA-57-1584-01A	TCGA-57-1584-01A-01T	[Pending]	110 uL	Total RNA	T	6af94d71-dc16-4c5a-bfc1-e72b78bd4e7d	.10 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-57-1584-01A	TCGA-57-1584-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	a4320547-fac4-49e0-adb3-1802ca9d6207	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-57-1584-11A	TCGA-57-1584-11A-01D	1.8	34.97000000000001 uL	DNA	D	b50086c2-31e7-40e3-97e1-12ad63b8c195	0.12 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-57-1584-11A	TCGA-57-1584-11A-01G	[Pending]	173 uL	GenomePlex (Rubicon) Amplified DNA	G	4aff627e-353c-4472-beab-f036f77e41a9	0.000 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-57-1584-11A	TCGA-57-1584-11A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	64dfec52-cc1c-4314-9146-5c13172552c1	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-25-1633-01A	TCGA-25-1633-01A-01D	1.9	75.67 uL	DNA	D	ae1c848f-3c7e-4974-bfb9-4a1bd5b805c2	0.16 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-25-1633-01A	TCGA-25-1633-01A-01G	[Pending]	0 uL	GenomePlex (Rubicon) Amplified DNA	G	0b23cabf-75dc-48e9-9e1e-eaa9ed960b2c	0.113 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
