"Genes","E.MTAB.386_eset","GSE13876_eset","GSE17260_eset","GSE18520_eset","GSE26712_eset","GSE9891_eset","PMID17290060_eset","TCGA_eset","GSE32062.GPL6480_eset","Pooled.Cox.Coefficient","P","FDR"
"GMPR","ILMN_1729487","10508","A_24_P277657","204187_at","204187_at","204187_at","204187_at","204187_at","A_24_P277657",-0.219200403148328,3.304804580966e-08,0.000256452835482962
"MFAP4","ILMN_1766914","25622","A_23_P164057","212713_at","212713_at","212713_at","212713_at","212713_at","A_23_P164057",0.198138955190355,2.36053649041857e-07,0.000761074896301945
"LRRC17","ILMN_1652826","4980","A_23_P253958","205381_at","205381_at","205381_at","205381_at","205381_at","A_23_P253958",0.192625748400051,2.94229985683742e-07,0.000761074896301945
"GJB1","ILMN_1799535","13914","A_24_P404840","204973_at","204973_at","204973_at","204973_at","204973_at","A_23_P250444",-0.199953578564658,1.18420516837478e-06,0.0022418775947144
"NUAK1","ILMN_1689318","32188","A_23_P348257","204589_at","204589_at","204589_at","204589_at","204589_at","A_23_P348257",0.184588404837597,1.65360030502248e-06,0.0022418775947144
"LEFTY2","ILMN_1781256","3507","A_23_P137573","206012_at","206012_at","206012_at","206012_at","206012_at","A_23_P137573",0.178069785167418,1.98981252251772e-06,0.0022418775947144
"DDB2","ILMN_1660817","19121","A_23_P52610","203409_at","203409_at","203409_at","203409_at","203409_at","A_23_P52610",-0.191936208914837,2.0223122632733e-06,0.0022418775947144
"EDNRA","ILMN_1796629","11398","A_24_P217572","204464_s_at","204464_s_at","204464_s_at","204464_s_at","204464_s_at","A_24_P217572",0.184286130339283,2.35759178522428e-06,0.00228686403166755
"HSD17B6","ILMN_1653162","18832","A_23_P25030","205700_at","205700_at","205700_at","205700_at","205700_at","A_23_P25030",0.17512748120877,4.61337369669418e-06,0.0039777533207052
"ZCCHC24","ILMN_1754660","35792","A_23_P335452","212423_at","212419_at","212423_at","212419_at","212419_at","A_23_P335452",0.181344475291414,5.40627169471997e-06,0.0041952668351027
"AP3S1","ILMN_1658911","28135","A_23_P69958","202442_at","202442_at","202442_at","202442_at","202442_at","A_23_P69958",0.178917320827527,8.36729306795668e-06,0.00590274492794035
"FOXJ1","ILMN_1802190","1031","A_24_P168033","205906_at","205906_at","205906_at","205906_at","205906_at","A_23_P348636",-0.17221516851425,1.49035291656299e-05,0.00963761552710736
"RECK","ILMN_1688630","26854","A_23_P83028","205407_at","205407_at","205407_at","205407_at","205407_at","A_23_P83028",0.17131789080548,1.63127421367413e-05,0.00973745222931635
"PI3","ILMN_1693192","30021","A_23_P210465","41469_at","41469_at","41469_at","41469_at","41469_at","A_23_P210465",0.162846250227997,2.33809028184897e-05,0.0126493534560521
"RAB11FIP5","ILMN_1740604","31668","A_23_P415006","210879_s_at","210879_s_at","210879_s_at","210879_s_at","210879_s_at","A_23_P415006",0.166538560763922,2.44510698248429e-05,0.0126493534560521
"WDR45L","ILMN_1719140","2702","A_23_P207020","209076_s_at","209076_s_at","209076_s_at","209076_s_at","209076_s_at","A_23_P207020",-0.167406116194658,3.05130597564472e-05,0.0136922803120713
"SVIL","ILMN_1671404","18112","A_23_P35349","202565_s_at","202565_s_at","202565_s_at","202565_s_at","202565_s_at","A_23_P35349",0.164682203248841,3.27365710598101e-05,0.0136922803120713
"GULP1","ILMN_1802690","1155","A_32_P153388","204237_at","204235_s_at","204237_at","204235_s_at","204235_s_at","A_23_P332399",0.158596033904514,3.28947981103345e-05,0.0136922803120713
"APC","ILMN_1662668","16765","A_23_P70213","203525_s_at","203525_s_at","203525_s_at","203525_s_at","203525_s_at","A_23_P70213",0.167856193339198,3.35249131352261e-05,0.0136922803120713
"STK39","ILMN_1791328","22115","A_23_P90762","202786_at","202786_at","202786_at","202786_at","202786_at","A_23_P90762",0.159128978521525,3.6170476326825e-05,0.0140341448148081
"XRCC4","ILMN_1815047","32562","A_23_P122174","205071_x_at","205071_x_at","205071_x_at","205071_x_at","205071_x_at","A_23_P122174",0.162438211836971,4.0063554909365e-05,0.0143972202173558
"CSNK1G3","ILMN_1652024","35694","A_23_P213602","227767_at","220768_s_at","227767_at","220768_s_at","220768_s_at","A_24_P234792",0.159567276439808,4.08168614409573e-05,0.0143972202173558
"CD302","ILMN_1716797","12842","A_24_P396702","203799_at","203799_at","203799_at","203799_at","203799_at","A_24_P396702",0.163014691354406,4.87892222295488e-05,0.0164610593261434
"ALDH1A2","ILMN_1748538","23772","A_24_P73577","207015_s_at","207016_s_at","207015_s_at","207016_s_at","207016_s_at","A_24_P73577",0.149662882640337,5.13925710652326e-05,0.0166169313110919
"ECM2","ILMN_1746763","11195","A_23_P303671","206101_at","206101_at","206101_at","206101_at","206101_at","A_23_P303671",0.153836609373504,5.40906828920249e-05,0.0167897479696845
"AKAP12","ILMN_1770149","13590","A_23_P111311","210517_s_at","210517_s_at","210517_s_at","210517_s_at","210517_s_at","A_23_P214897",0.161034976298654,6.1372041571831e-05,0.0182030172420181
"PDPN","ILMN_1670490","33405","A_24_P299685","221898_at","221898_at","221898_at","221898_at","221898_at","A_23_P430068",0.15824743553005,6.46258537925011e-05,0.0182030172420181
"ZEB1","ILMN_1762231","8241","A_23_P202013","212764_at","212764_at","212764_at","212764_at","212764_at","A_23_P202013",0.155672825625329,6.70567192630584e-05,0.0182030172420181
"SIRT5","ILMN_1683059","7281","A_23_P214812","219185_at","219185_at","219185_at","219185_at","219185_at","A_23_P214812",-0.157809539746086,6.80267396931088e-05,0.0182030172420181
"EYA4","ILMN_1671844","7991","A_32_P219620","238877_at","207327_at","238877_at","207327_at","207327_at","A_32_P219620",0.15772701963713,7.59758316787858e-05,0.0196524151275793
"SPATA2","ILMN_1681135","27113","A_24_P164838","204434_at","204434_at","204434_at","204434_at","204434_at","A_23_P210554",0.159622912094308,7.87500022209079e-05,0.0197129037817499
"DUS1L","ILMN_1653342","17046","A_23_P255569","217912_at","217912_at","217912_at","217912_at","217912_at","A_23_P255569",-0.155241493179346,8.50670413176675e-05,0.0206287575195344
"SLC7A11","ILMN_1655229","27848","A_24_P200420","209921_at","209921_at","209921_at","209921_at","209921_at","A_32_P165477",-0.159812037081116,8.88547183252363e-05,0.0208943216425404
"KIAA0564","ILMN_1688455","5593","A_23_P25534","212946_at","212946_at","212946_at","212946_at","212946_at","A_24_P109351",0.152620218569229,9.83285337897954e-05,0.0219310522349536
"ADARB1","ILMN_1679797","16472","A_24_P936556","203865_s_at","203865_s_at","203865_s_at","203865_s_at","203865_s_at","A_23_P211207",0.155576062077125,0.000101698789075176,0.0219310522349536
"LGALS3BP","ILMN_1654314","22086","A_23_P15357","200923_at","200923_at","200923_at","200923_at","200923_at","A_23_P15357",-0.148281235063537,0.000101906460488507,0.0219310522349536
