"Genes","E.MTAB.386_eset","GSE12418_eset","GSE17260_eset","GSE18520_eset","GSE26712_eset","GSE32062.GPL6480_eset","GSE9891_eset","PMID17290060_eset","TCGA_eset","Pooled.LogIt.Coefficient","Mean.Optimal","Mean.Suboptimal","P","FDR","E.MTAB.386_eset.1","GSE12418_eset.1","GSE17260_eset.1","GSE26712_eset.1","GSE32062.GPL6480_eset.1","GSE9891_eset.1","PMID17290060_eset.1","TCGA_eset.1","Weighted.Mean"
"POSTN","ILMN_1790761","3498","A_24_P347411","210809_s_at","210809_s_at","A_24_P347411","210809_s_at","210809_s_at","210809_s_at",0.322064486791836,-0.170534744402088,0.0934695038740689,4.08891503870495e-06,0.00912322381934281,1.16208796208613,1.38079377290457,-1.13006913157202,2.12731906689466,1.37683438029419,3.08622805114152,3.93047948313154,2.31981091856659,1.83373282221558
"DLK1","ILMN_1797519","1086","A_24_P236251","209560_s_at","209560_s_at","A_24_P236251","209560_s_at","209560_s_at","209560_s_at",-0.245403353872121,0.135846676452687,-0.0841966636434593,0.000293868611305372,0.0590378625287764,-1.95474482407289,1.00210576503036,-1.86360901118234,-1.71008114739402,-1.14742239972071,-1.73499582532916,-1.77329583532691,-1.40623242310216,-1.53473816518732
"LUM","ILMN_1790529","26119","A_24_P270279","201744_s_at","201744_s_at","A_23_P99063","201744_s_at","201744_s_at","201744_s_at",0.301523921799782,-0.154938893139015,0.0988046447881308,1.20221497651243e-05,0.0158307668107157,-1.07403050290101,1.01383013414979,-1.34403686199993,1.60445688658795,1.58562379231517,1.82236938624766,3.10880734632105,2.12146133804771,1.50457719754551
"CXCL14","ILMN_1748323","8693","A_23_P213745","222484_s_at","218002_s_at","A_23_P213745","222484_s_at","218002_s_at","218002_s_at",0.290475324839631,-0.158140985676743,0.0845681246430344,6.08806669944972e-05,0.0267225540994513,1.16714161011505,1.18000431141296,1.79781731373409,1.43418753232389,1.17177016588786,1.46901995496556,2.21799002646397,1.64539008303721,1.47948350023324
"NNMT","ILMN_1715508","2355","A_23_P127584","202237_at","202237_at","A_23_P127584","202237_at","202237_at","202237_at",0.225710150056422,-0.124982085051667,0.0791254299268066,0.000763871653450506,0.0828911839895997,1.13316381393227,1.19499557126411,1.05217704176145,1.347658758357,1.1243035221937,1.62897096572223,2.66802095234604,1.85360222489439,1.44930181219558
"ASPN","ILMN_1801583","9342","A_23_P216429","219087_at","219087_at","A_23_P216429","219087_at","219087_at","219087_at",0.272763133058834,-0.136527580690509,0.0774028099448304,0.000206820648462466,0.0534185628311414,-1.00415955758461,1.00066642679704,1.0535480966007,1.46903670012434,1.77840599238279,1.95278523261141,1.70411107756576,1.66301024649245,1.43763788064637
"PEG3","ILMN_1675331","4701","A_23_P407583","209242_at","209242_at","A_23_P407583","209242_at","209242_at","209242_at",-0.247696934007035,0.133552198094232,-0.0849874123379927,0.000313840399226485,0.0590378625287764,-1.27346436706098,-1.57651080650846,-1.06147736898151,-1.65017525049578,-1.18385388573014,-1.80474505137387,-2.33453000475842,-1.30695924383637,-1.43554400504471
"FAP","ILMN_1741468","6851","A_23_P56746","209955_s_at","209955_s_at","A_23_P56746","209955_s_at","209955_s_at","209955_s_at",0.339393889714397,-0.167779712490943,0.107744997338212,4.15699748754988e-06,0.00912322381934281,1.25314836590263,1.4713159115063,-1.13473413050685,1.48335973789289,1.31031229226256,1.68495267202627,1.72117655609239,1.66978009848973,1.42288047455847
"COLEC11","ILMN_1735192","29913","A_24_P388322","219873_at","219873_at","A_23_P120125","219873_at","219873_at","219873_at",-0.267441480876568,0.149447229537644,-0.103695786517284,0.00011798958644867,0.0431579687321137,-1.10286209667835,-2.06857270449794,1.11078012129048,-1.30625645019734,-1.15482122381206,-1.63736935996903,-2.29174893173629,-1.54773652143322,-1.412092205925
"LOX","ILMN_1695880","20385","A_24_P37903","215446_s_at","215446_s_at","A_23_P122216","215446_s_at","215446_s_at","215446_s_at",0.287639621330261,-0.14255409012887,0.089912201398982,4.48115284844539e-05,0.0245865919618037,1.09670284047942,1.0391183893198,1.22866322478889,1.65427829723148,1.3419350723385,1.5966188048175,1.57434648996829,1.61119044210463,1.39839556599189
"VCAN","ILMN_1687301","19245","A_23_P144959","221731_x_at","221731_x_at","A_23_P144959","221731_x_at","221731_x_at","221731_x_at",0.23577758263153,-0.115814503910316,0.0806865223422187,0.000644794718733966,0.0828911839895997,1.10111975345345,-1.13725983460949,-1.28573351768906,1.52160013780386,1.12171253761189,1.39796239246831,2.33094900628004,2.00372887065502,1.35392224350146
"COL5A1","ILMN_1706505","25963","A_23_P158593","203325_s_at","212488_at","A_23_P158593","203325_s_at","212488_at","212488_at",0.243900447279694,-0.118771906609883,0.0841857154230067,0.000489232190211612,0.0775101592548564,1.02067834500561,-1.07294333646689,-1.10194155055713,1.538016602954,1.19161131882386,1.45165578935136,2.10199359663963,1.73658904794996,1.33466686161197
"STAR","ILMN_1701895","13741","A_23_P8981","204548_at","204548_at","A_23_P8981","204548_at","204548_at","204548_at",-0.224543616923183,0.123878309843651,-0.0780883253882761,0.00142763275317574,0.105239635807852,-1.22033098173867,-1.00755456686603,-1.39497732265094,-1.28471346171893,-2.02423050889148,-1.44467004325693,-1.27991851648472,-1.20040108293256,-1.33055129005171
"COL3A1","ILMN_1773079","17863","A_23_P142533","215076_s_at","215076_s_at","A_23_P142533","215076_s_at","215076_s_at","215076_s_at",0.236140291565824,-0.125886868888119,0.0749957758397424,0.000494445122828671,0.0775101592548564,-1.03865131998633,1.15089510389835,1.06429747475072,1.73864342635557,1.46479578244181,1.26001094840336,1.60003120352851,1.4357476777447,1.31163531654186
