"","E.MTAB.386_eset","GSE12418_eset","GSE17260_eset","GSE26712_eset","GSE32062.GPL6480_eset","GSE9891_eset","PMID17290060_eset","TCGA_eset","Weighted.Mean","FDR"
"POSTN",1.16208796208613,1.38079377290457,-1.13006913157202,1.83375338773658,1.37683438029419,3.08622805114152,3.93047948313154,2.31981091856659,1.80656866138618,0.0632319312491917
"LUM",-1.07403050290101,1.01383013414979,-1.34403686199993,1.43452315511708,1.58562379231517,1.82236938624766,3.10880734632105,2.12146133804771,1.48475863673025,0.0632319312491917
"CXCL14",1.16714161011505,1.18000431141296,1.79781731373409,1.40312783054581,1.17177016588786,1.46901995496556,2.21799002646397,1.64539008303721,1.47294105537734,0.129678415710354
"DLK1",-1.95474482407289,1.00210576503036,-1.86360901118234,-1.22391763679365,-1.14742239972071,-1.73499582532916,-1.77329583532691,-1.40623242310216,-1.46992670032886,0.163290282150487
"ASPN",-1.00415955758461,1.00066642679704,1.0535480966007,1.3599314494665,1.77840599238279,1.95278523261141,1.70411107756576,1.66301024649245,1.4231961708122,0.129678415710354
"NNMT",1.13316381393227,1.19499557126411,1.05217704176145,1.20363105803891,1.1243035221937,1.62897096572223,2.66802095234604,1.85360222489439,1.42176725730602,0.217376694966834
"COLEC11",-1.10286209667835,-2.06857270449794,1.11078012129048,-1.31668541155473,-1.15482122381206,-1.63736935996903,-2.29174893173629,-1.54773652143322,-1.40906428564393,0.178425356041516
"FAP",1.25314836590263,1.4713159115063,-1.13473413050685,1.32681810151999,1.31031229226256,1.68495267202627,1.72117655609239,1.66978009848973,1.40288498873065,0.0632319312491917
"LOX",1.09670284047942,1.0391183893198,1.22866322478889,1.46433432128197,1.3419350723385,1.5966188048175,1.57434648996829,1.61119044210463,1.38404129329674,0.0836995575809362
"PEG3",-1.27346436706098,-1.57651080650846,-1.06147736898151,-1.17631513841214,-1.18385388573014,-1.80474505137387,-2.33453000475842,-1.30695924383637,-1.3759393089955,0.189742199283542
"VCAN",1.10111975345345,-1.13725983460949,-1.28573351768906,1.32380677471724,1.12171253761189,1.39796239246831,2.33094900628004,2.00372887065502,1.33384129619123,0.178425356041516
"COL5A1",1.02067834500561,-1.07294333646689,-1.10194155055713,1.25140499077748,1.19161131882386,1.45165578935136,2.10199359663963,1.73658904794996,1.30374671322508,0.178425356041516
"COL3A1",-1.03865131998633,1.15089510389835,1.06429747475072,1.44651184832771,1.46479578244181,1.26001094840336,1.60003120352851,1.4357476777447,1.29292668890981,0.178425356041516
"STAR",-1.22033098173867,-1.00755456686603,-1.39497732265094,-1.06151030716597,-2.02423050889148,-1.44467004325693,-1.27991851648472,-1.20040108293256,-1.29291556334659,0.217376694966834
"PROM1",-1.71744693647259,-1.0385750223964,-1.31612608291339,-1.62579992577259,-1.27320015031642,-1.08690503893385,-1.14146013075725,-1.15229583278205,-1.28172591936429,0.226280214056608
"NUAK1",1.18052335354594,1.24161599001049,-1.07808759482792,1.08932646576031,-1.03442963500604,1.39472838692311,2.04283723594945,1.62666719346837,1.27720537943026,0.127643927383826
"CRISPLD2",1.1108876517768,1.23571503460776,-1.06704479909833,1.22430773575373,-1.19002502397298,1.72468633049645,1.75154739397459,1.55022142936434,1.27396429411267,0.17804678501428
"CCL13",-1.11775173234153,-1.08315989088107,-2.46065773231663,-1.06625946994819,-1.85613216317481,-1.1206632643458,-1.11106682602811,-1.03032254945557,-1.2594672622927,0.17499660453773
"ACTA2",1.01852971610612,1.0128938437786,-1.04809312497452,1.3368081260799,-1.11984468129445,1.49374269015056,1.88355609278473,1.55685667748099,1.25244412258291,0.205072209795206
"ALDH1A3",1.07253103825162,1.10397609434195,1.27576957979424,1.05113106227964,1.03328260343449,1.51979175664167,1.54503148702335,1.35672823484179,1.23325265698864,0.217376694966834
"MMP2",1.01783608630814,1.00412785103524,-1.14662164197338,1.19466948148718,1.23611182678838,1.24909256811856,1.99363256820822,1.49208300612275,1.23156460389739,0.217376694966834
"CYR61",-1.00186163527965,-1.21644414287231,1.0342403682633,1.12425315207564,1.29443498895428,1.30868387885319,1.66199996354612,1.57752649749305,1.23052332290047,0.178425356041516
"CTSK",1.09546170210126,-1.02366462855011,-1.49334174961187,1.31844965728568,1.17488786873247,1.35127403714339,1.56066212024423,1.65600260558331,1.22814598977339,0.189742199283542
"SRPX",1.12552306102495,-1.01772087843402,1.01398448641239,1.25453147193972,1.43303402901118,1.0075715956259,1.29919125829082,1.45915201788429,1.21200485820287,0.223986431757889
"PCSK6",-1.17379836061123,-1.15213707851122,-1.10298134229766,-1.20242394037136,-1.13647611947003,-1.34664805759223,-1.30048623243472,-1.24913181580223,-1.20987118449835,0.178425356041516
"MICAL2",1.01619732096875,1.20611554181479,-1.206338912922,1.1666299595418,-1.00221003054477,1.26867765924728,2.29143871308727,1.40133361854687,1.20941378896163,0.217376694966834
"NRTN",-1.26487517834344,-1.18247739388844,-1.26898598216684,-1.07309701427507,-1.34208588411333,-1.22352800372592,-1.14163564443358,-1.20265817896626,-1.20837524949853,0.0632319312491917
"TGFBI",1.09754226722371,1.11576134871543,-1.00532710269565,1.11846875877644,-1.00143572718433,1.31993666412695,1.43445244906039,1.49823400429058,1.20695635060837,0.16903151018398
"GREB1",-1.2727358805662,-1.21601583089156,-1.02916429905446,-1.1233257316203,-1.12666136215836,-1.27590046052312,-1.08001754149602,-1.37483784291958,-1.20339197231175,0.217376694966834
"TNFAIP6",1.00225350795981,1.03310827979321,-1.15689475704269,1.23998676600383,1.3066118894713,1.42567065556777,1.23091579453081,1.39460804470804,1.19897681225574,0.178425356041516
"ADAMTS1",-1.15685552972251,1.41992760400136,1.45481394833265,1.15160378196563,1.0852414475177,1.38691202455354,-1.27733199387082,1.38817733195256,1.1925823958776,0.178425356041516
"KIAA1199",1.06123103211461,1.04065058781001,1.4373930734708,1.19768227597122,-1.00816307061384,1.2410586961,1.21694141922152,1.28145238672112,1.18923300933382,0.0836995575809362
"OLFML2B",1.09075027475641,1.11316764381831,-1.04879501963417,1.24058442828887,1.23904974906711,1.14006234351776,1.5428301329049,1.24602325572566,1.18461581291315,0.178425356041516
"ST6GALNAC5",1.07543100470632,1.36359709751094,1.19769494326669,1.19636995765858,-1.42312917962919,1.72278359186401,-1.10502876986682,1.3675093536358,1.1837796444824,0.223986431757889
"FOS",-1.17681869677938,1.07461842664644,1.09414041521087,1.27519247851811,1.42094595936754,1.08103355980467,1.03289218968481,1.46957669486075,1.18230615949466,0.223986431757889
"C9orf3",-1.00291257513487,-1.3487304055454,1.41792086274707,1.30730236381833,1.12041882201228,1.20770638560952,1.4956590718951,1.21323010872166,1.17736702207189,0.129678415710354
"SCRG1",1.16445344901103,-1.05692639565042,1.24439998734335,1.20831990967685,1.76811055318862,1.17928921145048,-1.04176304637984,1.0399859894861,1.16858915692457,0.156514453792417
"MTDH",1.06747716725113,1.1286567071676,1.33708122320517,1.13296654530879,-1.0493032580308,1.22140775382857,1.30262263195747,1.23041475339242,1.16783773501977,0.1114269480163
"PRSS23",-1.00653344047852,1.04919073354342,1.60491291818516,1.05637332609162,1.00886979485388,1.16584037590407,-1.05797954156938,1.40455782137197,1.16623894987092,0.217376694966834
"ENPP1",1.0971289681894,-1.01343424409072,1.13362902071981,1.12267780959451,1.02220783392687,1.30510358622665,1.45157889861615,1.22639589157391,1.16357524441134,0.178425356041516
"FERMT2",1.05723657700833,1.1417140888505,1.04001009660427,1.19075583000163,1.09418860622025,1.12869624262053,1.17433145297239,1.34805255494108,1.16291396625574,0.178425356041516
"VSIG4",1.00834425563881,1.15824179301208,-1.0806553047908,1.13196218633601,1.08027829913565,1.22534929701021,1.03485567769673,1.51395869505019,1.16143609542886,0.178425356041516
"AMT",-1.151406820782,-1.07966475173576,-1.36122013322051,-1.15536212384333,-1.33341642343366,1.03684539626781,-1.11522784818733,-1.16533688579504,-1.16113583128075,0.0836995575809362
"RGCC",-1.04502346706937,-1.01508180691234,-1.08530834176641,1.41075200143867,1.14036275125525,1.08811167898333,1.291800896591,1.3721854433429,1.1602995650465,0.178425356041516
"SEZ6L2",1.00471255806475,-1.0623108795327,-1.18563802012773,-1.07092008144021,-1.24779242693347,-1.11468602217308,-1.10729557446366,-1.36505157148588,-1.15996088759673,0.0632319312491917
"RGS4",1.13799652979836,1.00430176276236,1.02895882986319,1.14518804743849,1.20011373352039,1.37517118195379,1.07431277216435,1.21882744194615,1.15941116235903,0.217376694966834
"TGFBR2",1.04152183257076,1.09636173676974,1.09507775710156,1.21589945866417,1.20440734263078,1.15986661240153,-1.01052681813079,1.2923366795669,1.15656451417549,0.125265197402042
"PRRX1",1.10193994696292,1.3124089472429,-1.26634546522948,1.09389966808244,1.20250050072182,1.59726340538543,1.04502781990836,1.2063740400564,1.15608835425154,0.221528849295839
"LMCD1",1.04223997836268,1.38889089023225,1.07582412235255,1.19815327215819,-1.08993061363414,1.37643253717248,1.03597632049883,1.22806047137105,1.15582489516222,0.217376694966834
"CH25H",-1.04329419605502,1.05864710162147,1.07394127279464,1.03439387934254,1.60960491006141,1.22445452002474,1.0564096310115,1.24765890921651,1.15574037373241,0.143859682258675
"MTSS1",1.01329886100465,1.04684522993258,1.3497303368915,1.13644687732718,1.2532711332685,1.11099215958311,1.02045981123206,1.22847835183312,1.15348152017212,0.230855091330876
"CDHR1",-1.05923144924382,-1.4842678078061,1.01028348949263,-1.10576133944988,-1.35016655120872,-1.1662301023203,-1.00350251341921,-1.16798692417319,-1.15190992404699,0.183359549065335
"MYOF",-1.00050149011877,-1.03533801430558,1.02015508388809,1.35667470035508,1.11073617358078,1.23161242614866,1.11708576004526,1.25997904956506,1.15030550440519,0.178425356041516
"C5AR1",1.163933514724,1.03037038681203,1.04002681066548,1.07785098223266,1.0198100558283,1.31430030153997,1.17626657104718,1.27673122916207,1.14886730736075,0.129678415710354
"ABCA1",1.16912513991785,-1.03357568740091,1.00280779770623,1.03895971513762,1.1447193195814,1.1808865892552,1.30401849723169,1.30621833379056,1.1477988300656,0.0836995575809362
"EPAS1",1.06645020032654,1.13174531563694,1.1809941063504,1.13586893798429,1.02568083001303,1.23930495377167,1.17337591601134,1.19827038562602,1.14734217536668,0.178425356041516
"ITGB5",-1.00615875112672,1.1285412928594,-1.00381055069925,1.06418973785703,1.19335270080204,1.12898978151046,1.19459509871959,1.37457660940504,1.1470384953086,0.0632319312491917
"EMP1",1.11491387237341,1.25099273404235,1.01893651203368,1.00833466523722,1.03090557393195,1.21635542106955,1.2039688721002,1.30205751606616,1.14591710649079,0.217376694966834
"SPARC",-1.14543065082198,-1.07159874894132,-1.06987674987615,1.27367827209951,1.23909585462405,1.13657202388083,1.34908167082599,1.35396433576661,1.14522099037308,0.221528849295839
"CHGA",-1.06226874501762,-1.0721610699826,-1.24059931171758,-1.13763315498545,-1.02996541071575,-1.14644614414409,-1.07637097067826,-1.25422441936411,-1.14070862137523,0.178425356041516
"CNN3",1.00320556839521,1.20531273865782,1.26642620083028,1.27567989451168,1.01416445002112,-1.05861840804192,-1.11972487706425,1.35758759925566,1.13808478618962,0.217376694966834
"TRIM58",-1.04031489444206,-1.0038853747896,-1.06512877849075,-1.04803008540477,-1.37801673372859,-1.32758212952887,1.02504844889244,-1.20317113773452,-1.13757871627353,0.17499660453773
"LGALS1",-1.05557977071765,1.24531201174362,1.00500162430111,1.15141701935159,1.00183185580324,1.12724422607863,1.43076182392502,1.26499944636771,1.1374967793212,0.217376694966834
"KLF6",1.04478318967562,1.0896986468548,-1.27131263003651,1.11357478389598,1.13828932221878,1.12390639914474,1.6484458028193,1.29469382676818,1.13619568675886,0.223986431757889
"COL7A1",1.04276727733141,-1.24906657340221,-1.38307435958574,-1.08632248067225,-1.48405032037392,-1.04813906261479,1.08853404571834,-1.09680334270934,-1.13462157343873,0.166676622136228
"HMGCS2",1.00363544863719,1.01141433489088,-1.00489651328025,-1.07711539181933,-1.5454862788834,-1.0903461891861,-1.07114368394776,-1.25307824251782,-1.13292922305384,0.178425356041516
"EGR1",-1.22238665557543,-1.31101352587659,1.15680081886273,1.09829697721416,1.2074766354208,1.15992412508591,1.38508622861768,1.41230151161884,1.13234835736515,0.17499660453773
"TNFRSF14",-1.06311572293021,-1.13391259813666,-1.51021342911774,-1.09149158320423,-1.37320339386827,-1.09241332069727,1.16821603623259,-1.05260079912963,-1.13034727828773,0.229197758837106
"IL17RB",-1.00758473613127,-1.06332119533382,-1.37253184305319,-1.12228137572808,-1.09107695111733,-1.05008026532076,-1.08017036234903,-1.20864601920207,-1.12962788411164,0.217376694966834
"PVRL2",1.0564824556865,1.48218873079539,1.17898472914538,1.09802295092488,-1.00939879613302,1.04408913642521,1.20363199220854,1.14608259590897,1.12924028259628,0.154531292261679
"CHST2",1.00421589897387,1.04703468982182,-1.28633266669496,-1.12654246306019,-1.19673858764884,-1.0285489773195,-1.19785667113495,-1.20262203332122,-1.12737026056677,0.217376694966834
"PAQR6",-1.08816148765693,-1.10456638521062,-1.31465433435046,-1.08300666178764,-1.17249415031556,-1.09958204004552,1.03089089962881,-1.15030850925484,-1.12612341899173,0.125265197402042
"SVIL",1.1208869210508,-1.07641424217339,-1.05044568954162,1.14760460437827,1.2246250676671,1.03090797663696,1.31092724535073,1.24681487018797,1.12600440087561,0.212241681878695
"NEK11",-1.04131408488088,1.09793452384426,-1.30209857385736,-1.09039571001708,-1.27911289185009,-1.23728813845412,-1.14940471506773,-1.05913285488637,-1.12470006949813,0.178425356041516
